source_file_id,framework,version,variant,task,model,size_mb,params_m,gmacs,cpu_cores,latency_ms
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v2,13.5,3.504,0.31,2,80.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v2,13.5,3.504,0.31,3,71.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v2,13.5,3.504,0.31,4,72.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v3_large,21.01,5.483,0.22,1,98.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v3_large,21.01,5.483,0.22,2,69.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v3_large,21.01,5.483,0.22,3,61.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v3_large,21.01,5.483,0.22,4,60.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v3_small,9.748,2.542,0.05,1,28.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v3_small,9.748,2.542,0.05,2,19.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v3_small,9.748,2.542,0.05,3,16.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v3_small,9.748,2.542,0.05,4,14.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,resnet18,44.62,11.68,1.81,1,379.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,resnet18,44.62,11.68,1.81,2,197.0
